housing_median_age,total_rooms,total_bedrooms,median_income,median_house_value,ocean_proximity
52,1591,373,2,128600,NEAR BAY
52,1586,398,2,140600,NEAR BAY
47,2046,588,2,182700,NEAR BAY
52,1192,289,2,146900,NEAR BAY
52,1803,420,2,122800,NEAR BAY
49,2838,749,2,169300,NEAR BAY
50,1746,480,2,123500,NEAR BAY
52,1252,299,2,111900,NEAR BAY
52,1783,395,2,107900,NEAR BAY
39,1469,431,2,105500,NEAR BAY
47,1372,395,2,95500,NEAR BAY
52,674,180,3,116100,NEAR BAY
43,1626,376,2,112200,NEAR BAY
51,175,43,2,75000,NEAR BAY
52,902,237,3,125000,NEAR BAY
52,1137,301,2,96400,NEAR BAY
52,769,206,2,72000,NEAR BAY
52,472,146,2,71300,NEAR BAY
52,862,215,3,80800,NEAR BAY
48,1696,396,2,122500,NEAR BAY
49,1175,217,2,106300,NEAR BAY
37,2343,574,2,132500,NEAR BAY
44,1487,314,3,109500,NEAR BAY
52,3424,690,3,164700,NEAR BAY
52,762,190,3,125000,NEAR BAY
46,2366,575,2,124700,NEAR BAY
49,1826,450,2,136700,NEAR BAY
38,3049,711,2,141700,NEAR BAY
29,1640,376,2,150000,NEAR BAY
47,1543,307,2,138800,NEAR BAY
34,2364,557,2,139200,NEAR BAY
35,1745,409,2,143800,NEAR BAY
39,2003,500,3,156500,NEAR BAY
39,2018,447,3,151000,NEAR BAY
43,3045,499,4,273000,NEAR BAY
52,1547,293,4,217100,NEAR BAY
52,3519,711,3,187100,NEAR BAY
41,2070,354,5,239600,NEAR BAY
48,1321,263,4,229700,NEAR BAY
48,1694,259,4,257300,NEAR BAY
46,1938,341,4,246900,NEAR BAY
50,968,195,2,179900,NEAR BAY
40,1060,256,4,169600,NEAR BAY
46,2041,405,3,203300,NEAR BAY
52,1813,271,4,263400,NEAR BAY
45,2718,451,4,231800,NEAR BAY
28,3144,761,2,140500,NEAR BAY
35,1802,459,2,126000,NEAR BAY
49,882,195,2,122000,NEAR BAY
44,1621,452,2,134700,NEAR BAY
45,2115,533,2,139400,NEAR BAY
45,2021,528,2,115400,NEAR BAY
46,2239,508,2,137300,NEAR BAY
52,1056,224,2,142600,NEAR BAY
49,898,244,3,137500,NEAR BAY
44,2968,710,2,111700,NEAR BAY
47,881,248,2,111300,NEAR BAY
40,494,114,2,114800,NEAR BAY
44,1678,514,2,131900,NEAR BAY
51,1637,463,2,119100,NEAR BAY
52,591,173,4,80600,NEAR BAY
52,745,153,2,88800,NEAR BAY
49,2272,498,2,102400,NEAR BAY
46,1234,375,2,98700,NEAR BAY
43,1017,328,2,100000,NEAR BAY
39,2689,597,2,94800,NEAR BAY
41,1547,415,2,102000,NEAR BAY
52,2300,443,3,158400,NEAR BAY
39,1752,399,3,121600,NEAR BAY
50,1867,403,2,129100,NEAR BAY
43,2430,502,2,121400,NEAR BAY
44,1729,414,2,102800,NEAR BAY
52,1026,180,2,160000,NEAR BAY
52,2170,428,3,143900,NEAR BAY
52,2329,445,3,151200,NEAR BAY
52,2492,415,4,164400,NEAR BAY
52,2198,397,3,156500,NEAR BAY
33,142,31,3,225000,NEAR BAY
49,1183,205,5,174200,NEAR BAY
52,1070,193,3,166900,NEAR BAY
45,1766,332,4,163500,NEAR BAY
39,617,95,5,253000,NEAR BAY
41,1411,233,7,240700,NEAR BAY
46,2109,387,3,208100,NEAR BAY
47,1229,243,2,198100,NEAR BAY
50,954,217,2,172800,NEAR BAY
37,1643,262,5,336700,NEAR BAY
34,1355,195,6,318200,NEAR BAY
23,2317,336,6,285800,NEAR BAY
24,2459,317,7,293000,NEAR BAY
42,1524,260,3,157300,NEAR BAY
30,3326,746,2,135300,NEAR BAY
43,1985,440,3,136700,NEAR BAY
50,1642,322,3,160700,NEAR BAY
49,893,177,3,140600,NEAR BAY
52,653,128,4,144000,NEAR BAY
47,1256,435,4,161900,NEAR BAY
48,977,194,4,156300,NEAR BAY
45,2324,397,3,176000,NEAR BAY
39,1583,349,3,145800,NEAR BAY
39,1612,342,3,141900,NEAR BAY
47,2118,413,2,107900,NEAR BAY
37,1575,358,2,107000,NEAR BAY
38,1764,397,2,98200,NEAR BAY
52,754,175,3,93800,NEAR BAY
27,909,236,2,97500,NEAR BAY
42,1180,257,2,97300,NEAR BAY
52,2744,547,2,96200,NEAR BAY
51,2107,471,3,120100,NEAR BAY
52,1748,362,2,100000,NEAR BAY
52,2024,391,2,94700,NEAR BAY
41,2036,510,2,89300,NEAR BAY
45,1852,393,2,101400,NEAR BAY
42,541,154,2,83500,NEAR BAY
44,1066,253,2,79700,NEAR BAY
43,707,147,2,83400,NEAR BAY
42,909,215,2,80000,NEAR BAY
43,1391,293,2,76400,NEAR BAY
44,548,119,2,79700,NEAR BAY
42,4074,874,2,82400,NEAR BAY
41,1613,445,2,97700,NEAR BAY
47,463,134,2,97200,NEAR BAY
43,818,193,2,101600,NEAR BAY
43,1473,371,2,86500,NEAR BAY
46,1026,226,3,107600,NEAR BAY
46,769,183,2,84200,NEAR BAY
46,2103,391,2,88900,NEAR BAY
45,330,76,4,80700,NEAR BAY
45,990,261,2,82000,NEAR BAY
43,1036,233,2,84600,NEAR BAY
33,1280,307,2,89300,NEAR BAY
41,1257,271,2,92300,NEAR BAY
44,1218,248,2,88800,NEAR BAY
45,2299,514,2,95500,NEAR BAY
47,998,211,3,100400,NEAR BAY
46,1827,307,4,164300,NEAR BAY
36,2781,574,2,155500,NEAR BAY
39,1823,286,6,196900,NEAR BAY
27,2229,365,4,279100,NEAR BAY
34,1513,231,5,252800,NEAR BAY
26,3266,491,5,275400,NEAR BAY
33,1809,261,6,250000,NEAR BAY
28,794,111,7,329800,NEAR BAY
36,690,105,4,195500,NEAR BAY
33,1334,200,6,255900,NEAR BAY
30,414,54,4,311100,NEAR BAY
36,768,93,5,330000,NEAR BAY
41,4400,666,5,248900,NEAR BAY
46,954,161,2,142900,NEAR BAY
40,1445,256,3,126300,NEAR BAY
44,1938,399,3,135800,NEAR BAY
41,856,178,3,130600,NEAR BAY
24,1790,454,2,107900,NEAR BAY
44,617,131,2,111100,NEAR BAY
43,1383,275,3,122000,NEAR BAY
49,1325,277,3,118000,NEAR BAY
35,667,140,3,94300,NEAR BAY
34,1223,281,2,92500,NEAR BAY
37,1379,287,2,91800,NEAR BAY
43,1534,300,4,109400,NEAR BAY
46,1029,181,3,129500,NEAR BAY
52,771,147,4,143400,NEAR BAY
47,824,223,2,98200,NEAR BAY
44,1097,239,2,103100,NEAR BAY
49,1283,238,3,276800,NEAR BAY
52,1604,263,5,270900,NEAR BAY
52,2248,422,3,246200,NEAR BAY
38,2263,522,3,224200,NEAR BAY
52,1571,349,3,229100,NEAR BAY
46,1520,402,2,211600,NEAR BAY
36,1077,293,3,206300,NEAR BAY
52,1248,283,4,221300,NEAR BAY
42,1342,291,4,207400,NEAR BAY
52,3171,698,3,218200,NEAR BAY
50,1211,261,3,216700,NEAR BAY
52,979,175,5,270600,NEAR BAY
52,2269,380,5,261400,NEAR BAY
52,1844,332,4,261300,NEAR BAY
52,2178,421,5,232200,NEAR BAY
42,1650,274,5,375400,NEAR BAY
52,1927,279,7,357300,NEAR BAY
52,2079,273,7,374400,NEAR BAY
52,1803,240,6,358800,NEAR BAY
52,2041,270,6,417500,NEAR BAY
52,2318,328,7,362900,NEAR BAY
52,2261,328,4,346800,NEAR BAY
52,1225,169,5,327100,NEAR BAY
52,2315,408,4,290100,NEAR BAY
52,2070,329,5,292000,NEAR BAY
52,2616,473,4,270900,NEAR BAY
52,2640,366,7,371100,NEAR BAY
52,1978,293,5,335600,NEAR BAY
37,2220,335,7,371300,NEAR BAY
41,1125,195,6,344000,NEAR BAY
52,3078,494,6,342200,NEAR BAY
52,3706,531,6,370900,NEAR BAY
37,3000,457,7,350000,NEAR BAY
42,2863,460,6,368600,NEAR BAY
52,2551,417,6,391800,NEAR BAY
52,2255,410,5,415300,NEAR BAY
52,3360,648,4,284900,NEAR BAY
52,1693,391,3,287500,NEAR BAY
44,2252,592,3,272900,NEAR BAY
52,2495,491,4,259600,NEAR BAY
52,1193,200,4,254500,NEAR BAY
52,1172,215,3,235600,NEAR BAY
52,2159,424,3,218400,NEAR BAY
48,2365,490,3,229200,NEAR BAY
46,1895,442,2,192100,NEAR BAY
52,1650,395,3,179300,NEAR BAY
10,503,118,2,150000,NEAR BAY
50,499,127,2,140600,NEAR BAY
52,477,119,2,120000,NEAR BAY
46,1647,376,2,144800,NEAR BAY
52,3123,749,2,144800,NEAR BAY
52,957,188,3,245500,NEAR BAY
52,589,132,3,200000,NEAR BAY
50,1829,536,2,185600,NEAR BAY
52,895,198,3,182600,NEAR BAY
52,1909,416,3,227900,NEAR BAY
46,3022,696,2,220700,NEAR BAY
46,1777,446,2,212000,NEAR BAY
52,2803,930,2,271400,NEAR BAY
37,2619,682,2,277800,NEAR BAY
52,1149,255,4,332500,NEAR BAY
52,2363,604,2,338900,NEAR BAY
41,685,141,5,384600,NEAR BAY
42,1756,465,2,371400,NEAR BAY
49,1350,368,2,211300,NEAR BAY
52,3084,698,2,210200,NEAR BAY
52,938,195,3,196400,NEAR BAY
52,1813,353,3,191700,NEAR BAY
52,1233,300,2,182300,NEAR BAY
44,2539,755,2,175000,NEAR BAY
46,1267,324,2,165900,NEAR BAY
52,1659,367,2,164300,NEAR BAY
52,2225,460,2,150000,NEAR BAY
52,2246,472,2,152700,NEAR BAY
49,2052,435,2,182700,NEAR BAY
52,1999,417,3,179300,NEAR BAY
52,3007,691,2,157700,NEAR BAY
41,2214,550,2,153100,NEAR BAY
52,1088,305,2,250000,NEAR BAY
52,834,186,3,206300,NEAR BAY
52,1769,372,2,218800,NEAR BAY
52,3497,832,2,257400,NEAR BAY
52,3774,744,2,289500,NEAR BAY
52,2888,604,3,241700,NEAR BAY
52,1389,191,7,446200,NEAR BAY
52,1709,318,5,456300,NEAR BAY
52,4048,663,5,376900,NEAR BAY
52,3618,768,3,309600,NEAR BAY
52,4076,920,2,182300,NEAR BAY
47,2077,400,2,172700,NEAR BAY
52,335,83,2,106300,NEAR BAY
52,610,145,2,119400,NEAR BAY
48,2063,484,2,132900,NEAR BAY
35,1872,419,2,132500,NEAR BAY
52,3108,813,2,126900,NEAR BAY
52,1757,246,5,457800,NEAR BAY
52,3665,517,6,398600,NEAR BAY
52,2474,403,5,340700,NEAR BAY
52,3037,516,5,289900,NEAR BAY
52,2269,323,4,335300,NEAR BAY
52,1316,177,5,333000,NEAR BAY
52,1153,235,2,241000,NEAR BAY
52,772,179,3,189600,NEAR BAY
52,1711,386,3,206300,NEAR BAY
52,2650,566,3,215700,NEAR BAY
52,1038,220,3,210200,NEAR BAY
52,1527,320,3,208800,NEAR BAY
52,859,157,4,197900,NEAR BAY
52,970,217,3,201300,NEAR BAY
52,1045,239,2,190800,NEAR BAY
52,1408,280,2,207900,NEAR BAY
52,1222,264,3,215300,NEAR BAY
45,1169,263,3,212900,NEAR BAY
13,2020,535,5,292700,NEAR BAY
30,4145,869,2,275000,NEAR BAY
42,2038,368,2,200000,NEAR BAY
29,5154,435,2,173400,NEAR BAY
52,1468,363,2,220800,NEAR BAY
27,3997,1073,3,242800,NEAR BAY
18,2873,763,5,265400,NEAR BAY
50,1487,306,2,219000,NEAR BAY
52,1670,350,2,282100,NEAR BAY
52,2252,388,5,372000,NEAR BAY
52,1731,377,4,225800,NEAR BAY
52,1710,481,2,220800,NEAR BAY
52,2388,559,3,234500,NEAR BAY
52,2156,458,3,254200,NEAR BAY
52,1565,315,4,351800,NEAR BAY
52,1704,371,4,275000,NEAR BAY
52,1210,168,3,405400,NEAR BAY
52,2097,444,2,228100,NEAR BAY
52,1848,479,2,234000,NEAR BAY
43,955,284,2,162500,NEAR BAY
43,4329,1110,2,243400,NEAR BAY
52,3011,542,5,273800,NEAR BAY
52,1049,185,4,248500,NEAR BAY
52,2504,516,3,244000,NEAR BAY
52,1846,471,2,240900,NEAR BAY
52,1705,246,5,306300,NEAR BAY
50,1542,289,3,240000,NEAR BAY
45,891,435,4,247100,NEAR BAY
27,4051,753,4,286600,NEAR BAY
52,2646,581,3,266700,NEAR BAY
49,2428,525,3,229800,NEAR BAY
52,2567,436,4,229300,NEAR BAY
25,1914,365,4,206200,NEAR BAY
52,2876,648,3,252900,NEAR BAY
20,1156,365,3,100000,NEAR BAY
5,3596,467,7,412500,NEAR BAY
36,3541,570,4,248600,NEAR BAY
40,1808,302,5,254900,NEAR BAY
36,2879,480,4,241500,NEAR BAY
26,3204,477,5,295200,NEAR BAY
31,3866,531,6,340400,NEAR BAY
32,2476,368,5,274700,NEAR BAY
35,2211,350,5,238600,NEAR BAY
35,2663,387,5,266400,NEAR BAY
30,2599,366,5,330200,NEAR BAY
36,4569,824,4,206800,NEAR BAY
25,2973,622,4,209200,NEAR BAY
30,3115,625,3,195800,NEAR BAY
31,1843,282,5,253500,NEAR BAY
31,2053,336,4,241800,NEAR BAY
30,1751,269,6,263900,NEAR BAY
38,1663,295,5,227000,NEAR BAY
38,3716,657,4,220900,NEAR BAY
32,2718,447,5,259300,NEAR BAY
39,1420,272,4,232500,NEAR BAY
37,1893,310,4,231600,NEAR BAY
33,3906,790,3,209400,NEAR BAY
32,3400,736,3,223200,NEAR BAY
25,3402,758,3,209900,NEAR BAY
33,4413,1107,2,208200,NEAR BAY
29,2304,618,2,203800,NEAR BAY
36,2350,499,3,195700,NEAR BAY
43,1575,324,2,181000,NEAR BAY
42,1414,274,3,184900,NEAR BAY
37,848,202,2,190800,NEAR BAY
15,3051,685,3,242200,NEAR BAY
20,4296,817,4,188300,NEAR BAY
52,2898,557,3,183500,NEAR BAY
52,1071,201,4,204200,NEAR BAY
51,2619,403,4,251900,NEAR BAY
49,1494,316,2,187500,NEAR BAY
52,2260,416,4,198200,NEAR BAY
52,1394,223,3,219000,NEAR BAY
52,1028,129,4,275000,NEAR BAY
45,3758,819,2,245400,NEAR BAY
46,2163,470,3,177500,NEAR BAY
49,1699,408,2,171600,NEAR BAY
52,1555,289,3,183300,NEAR BAY
52,1114,206,2,175000,NEAR BAY
45,1498,313,3,156700,NEAR BAY
45,726,147,3,157500,NEAR BAY
38,890,200,3,179800,NEAR BAY
36,2639,533,4,205500,NEAR BAY
35,2562,554,3,178900,NEAR BAY
36,361,69,5,262500,NEAR BAY
42,3008,659,3,165000,NEAR BAY
46,1369,284,3,159700,NEAR BAY
5,1692,398,3,158300,NEAR BAY
38,1007,245,2,144800,NEAR BAY
43,3783,814,4,166300,NEAR BAY
37,1507,242,4,191000,NEAR BAY
36,666,132,3,175000,NEAR BAY
10,2229,601,3,137500,NEAR BAY
28,2215,587,2,141700,NEAR BAY
31,1616,372,2,210900,NEAR BAY
47,1190,251,3,198300,NEAR BAY
29,4169,1047,2,157400,NEAR BAY
52,2024,320,5,264700,NEAR BAY
38,1723,394,3,218400,NEAR BAY
43,2264,390,3,235100,NEAR BAY
33,1996,268,6,341800,NEAR BAY
26,2862,394,7,367300,NEAR BAY
35,2183,383,3,243500,NEAR BAY
35,1037,207,4,167900,NEAR BAY
25,1134,153,6,371200,NEAR BAY
39,786,132,3,218900,NEAR BAY
45,1397,253,2,202700,NEAR BAY
45,2315,451,3,186200,NEAR BAY
44,1613,339,3,188900,NEAR BAY
44,1421,298,3,180000,NEAR BAY
27,3094,866,2,181700,NEAR BAY
18,3905,1007,3,166800,NEAR BAY
43,3046,557,3,183700,NEAR BAY
19,3516,710,3,218000,NEAR BAY
36,998,178,4,191500,NEAR BAY
36,1464,244,3,194700,NEAR BAY
17,1463,292,4,187200,NEAR BAY
21,4124,1054,2,223100,NEAR BAY
17,2380,769,3,271300,NEAR BAY
36,1266,228,3,194100,NEAR BAY
36,2239,391,5,190400,NEAR BAY
38,1571,317,4,189100,NEAR BAY
38,1246,221,3,184600,NEAR BAY
36,1501,287,3,197300,NEAR BAY
36,1468,252,3,192600,NEAR BAY
36,1118,219,3,192200,NEAR BAY
36,1097,208,2,194600,NEAR BAY
36,1719,303,4,193500,NEAR BAY
24,1755,365,4,202600,NEAR BAY
16,1687,348,2,83300,NEAR BAY
24,2262,391,4,212600,NEAR BAY
5,2087,407,5,187800,NEAR BAY
36,1480,278,4,205700,NEAR BAY
36,1545,273,4,192900,NEAR BAY
35,2632,447,4,205200,NEAR BAY
30,2261,443,4,213400,NEAR BAY
39,1670,308,5,183600,NEAR BAY
37,2141,535,2,178400,NEAR BAY
27,3337,613,3,219200,NEAR BAY
31,3184,716,2,183100,NEAR BAY
44,2341,500,2,157100,NEAR BAY
30,1197,269,3,157800,NEAR BAY
34,1131,278,2,161700,NEAR BAY
38,1164,284,3,152100,NEAR BAY
41,3495,787,2,144900,NEAR BAY
17,2488,617,2,179900,NEAR BAY
35,2681,508,4,179100,NEAR BAY
19,2495,635,2,159900,NEAR BAY
23,1689,461,2,161400,NEAR BAY
29,1298,306,2,170400,NEAR BAY
19,2693,789,2,137500,NEAR BAY
41,746,435,3,178400,NEAR BAY
37,2444,651,2,155200,NEAR BAY
42,1472,310,3,160900,NEAR BAY
10,2227,560,2,167300,NEAR BAY
20,200,25,6,340000,NEAR BAY
32,1283,194,6,431000,<1H OCEAN
6,2445,590,3,301100,NEAR BAY
21,1307,236,4,241900,NEAR BAY
5,3785,936,3,162500,NEAR BAY
10,2031,357,5,299200,NEAR BAY
36,1815,426,3,218100,NEAR BAY
26,1167,370,2,275000,NEAR BAY
26,2607,682,2,184100,NEAR BAY
48,1252,305,2,175000,NEAR BAY
41,1382,353,3,197500,NEAR BAY
43,500,110,3,150000,NEAR BAY
29,2333,538,2,205600,NEAR BAY
41,1834,463,2,170300,NEAR BAY
43,1415,348,2,190900,NEAR BAY
37,1352,342,3,196900,NEAR BAY
37,2116,503,2,174000,NEAR BAY
37,1976,481,2,170200,NEAR BAY
38,1779,413,3,180900,NEAR BAY
34,3659,897,2,150500,NEAR BAY
31,1892,428,3,167100,NEAR BAY
35,1958,484,2,148900,NEAR BAY
40,1553,253,4,196400,NEAR BAY
37,2412,394,4,191100,NEAR BAY
36,2110,389,3,187500,NEAR BAY
45,2179,401,3,180600,NEAR BAY
45,2457,445,4,182800,NEAR BAY
44,2147,399,4,179300,NEAR BAY
43,1676,340,3,179400,NEAR BAY
35,2976,518,4,210300,NEAR BAY
34,3036,533,4,192300,NEAR BAY
35,2472,398,5,198100,NEAR BAY
36,1487,249,4,196200,NEAR BAY
38,2012,347,3,181600,NEAR BAY
37,3342,435,4,186900,NEAR BAY
37,3156,534,4,188300,NEAR BAY
40,1748,318,3,184000,NEAR BAY
33,3429,681,3,184700,NEAR BAY
42,3592,703,3,179900,NEAR BAY
38,1035,247,3,167200,NEAR BAY
32,3028,811,3,165400,NEAR BAY
33,2431,655,2,154000,NEAR BAY
39,2069,500,3,153500,NEAR BAY
40,1340,313,3,135400,NEAR BAY
39,1160,259,2,158300,NEAR BAY
32,2015,318,6,240700,NEAR BAY
22,3882,816,4,180700,NEAR BAY
27,3239,671,3,230600,NEAR BAY
28,2932,739,3,210800,NEAR BAY
38,2104,409,3,165300,NEAR BAY
29,1694,251,6,254200,NEAR BAY
18,3000,419,6,332600,NEAR BAY
23,2419,348,6,350000,NEAR BAY
28,2280,610,2,161200,NEAR BAY
33,1547,372,2,154300,NEAR BAY
31,3300,790,3,161800,NEAR BAY
35,1813,393,3,165400,NEAR BAY
37,1997,436,2,166600,NEAR BAY
37,901,191,3,149700,NEAR BAY
35,686,142,3,162100,NEAR BAY
33,1954,464,3,152600,NEAR BAY
27,2630,722,2,195200,NEAR BAY
35,1130,192,4,190600,NEAR BAY
35,1184,200,4,193800,NEAR BAY
34,656,115,4,200600,NEAR BAY
29,2544,643,3,150000,NEAR BAY
36,1305,225,4,185300,NEAR BAY
36,1755,316,4,172700,NEAR BAY
35,2843,652,3,174100,NEAR BAY
25,2538,494,4,194400,NEAR BAY
28,1784,311,4,206700,NEAR BAY
31,1797,327,4,204500,NEAR BAY
36,410,76,4,175000,NEAR BAY
26,162,27,2,137500,NEAR BAY
35,2361,458,4,173600,NEAR BAY
19,862,167,4,163000,NEAR BAY
18,4335,808,3,331600,NEAR BAY
31,1487,280,5,197600,NEAR BAY
8,3592,849,3,197900,NEAR BAY
40,432,102,3,228100,NEAR BAY
34,1457,242,3,189500,NEAR BAY
32,1578,284,3,184200,NEAR BAY
29,2172,435,3,180900,NEAR BAY
36,1340,245,3,172000,NEAR BAY
36,1116,199,5,177900,NEAR BAY
36,1885,307,4,173100,NEAR BAY
36,1180,212,5,172600,NEAR BAY
23,1897,440,3,179500,NEAR BAY
31,767,171,3,176000,NEAR BAY
33,691,127,4,192600,NEAR BAY
36,786,133,3,182700,NEAR BAY
27,2784,723,2,157600,NEAR BAY
25,4524,860,4,190900,NEAR BAY
37,1468,304,4,158200,NEAR BAY
20,1655,450,3,350000,NEAR BAY
33,1227,286,3,158200,NEAR BAY
33,1160,252,3,146100,NEAR BAY
33,952,172,3,226700,NEAR BAY
35,2072,352,4,198700,NEAR BAY
32,2964,547,4,221200,NEAR BAY
35,1032,173,6,208500,NEAR BAY
35,657,118,3,204200,NEAR BAY
32,1540,324,3,193200,NEAR BAY
35,1298,236,3,209500,NEAR BAY
36,1409,271,3,164900,NEAR BAY
37,1383,259,4,161400,NEAR BAY
36,1151,216,4,187000,NEAR BAY
35,899,179,4,190400,NEAR BAY
37,1793,364,3,156600,NEAR BAY
17,2485,518,2,157300,NEAR BAY
35,1931,376,3,168100,NEAR BAY
24,2329,465,4,177600,NEAR BAY
23,1939,356,3,169200,NEAR BAY
16,1642,346,2,163900,NEAR BAY
34,1619,293,4,164700,NEAR BAY
35,517,108,4,156900,NEAR BAY
36,1570,274,5,168800,NEAR BAY
35,1213,221,4,174100,NEAR BAY
27,1826,309,5,206500,NEAR BAY
26,2261,443,3,203900,NEAR BAY
9,3666,711,4,217000,<1H OCEAN
36,1633,345,3,159600,NEAR BAY
31,2155,522,2,159800,NEAR BAY
32,1295,280,3,154300,NEAR BAY
32,1295,295,3,149600,NEAR BAY
33,1518,302,5,188600,NEAR BAY
17,3314,638,4,238500,NEAR BAY
22,3009,497,4,235300,NEAR BAY
6,2605,474,5,261400,NEAR BAY
17,5159,832,5,234400,NEAR BAY
18,1726,276,5,231700,NEAR BAY
16,1816,365,4,156300,NEAR BAY
13,2578,551,4,222000,NEAR BAY
15,2576,418,5,254400,NEAR BAY
16,1644,251,6,244300,NEAR BAY
16,1606,240,6,247000,NEAR BAY
16,3349,544,6,236500,NEAR BAY
15,3475,686,4,151400,NEAR BAY
16,1893,338,5,213700,NEAR BAY
14,1727,302,5,243600,NEAR BAY
24,2077,383,4,214700,NEAR BAY
18,1165,333,3,213200,NEAR BAY
16,4371,889,4,256000,NEAR BAY
2,838,295,2,237500,NEAR BAY
15,3052,760,3,178100,NEAR BAY
17,4313,717,5,231800,NEAR BAY
36,385,94,2,147900,NEAR BAY
10,3046,678,3,191700,NEAR BAY
21,4342,783,4,247600,<1H OCEAN
15,3575,597,5,283500,<1H OCEAN
20,4126,1031,3,216900,<1H OCEAN
31,2878,478,6,282500,<1H OCEAN
6,4405,717,5,295600,<1H OCEAN
5,1150,311,3,300000,<1H OCEAN
23,4332,857,4,223400,NEAR BAY
35,1716,312,5,214500,NEAR BAY
31,4981,964,4,220200,NEAR BAY
6,3028,778,4,158000,NEAR BAY
26,2068,532,3,224200,NEAR BAY
33,1325,274,4,177200,NEAR BAY
24,2563,485,3,216100,NEAR BAY
18,5505,1005,5,269700,<1H OCEAN
4,3746,993,4,162500,<1H OCEAN
31,1949,344,4,196200,<1H OCEAN
25,1354,192,6,352400,<1H OCEAN
27,3715,526,6,305300,<1H OCEAN
33,2095,342,5,259600,<1H OCEAN
